dt,"[7706] Old Chemistry Building, CHW","[7767] TUNL Bldg., CHW","[7234] East Dorm 1 Blackwell, CHW","[7514] Medical Science Research Bldg II, STEAM","[7701] Duke Chapel, STEAM"
6/15/2017,2741.620117,1566.800049,2109.100098,84910.39844,12373.7998
6/16/2017,2736.610107,1580.599976,2091.01001,83871.5,12292.90039
6/17/2017,2728.469971,1539.73999,2163.820068,80240.70313,12551.5
6/18/2017,2770.679932,1577.109985,2267.580078,80848.79688,12340.7002
6/19/2017,2801.310059,1569.72998,2265.709961,85698,11660.2002
6/20/2017,2419.01001,1444.75,1843.339966,81221.10156,11029.09961
6/21/2017,2382.310059,1454.219971,1891.02002,86595.60156,11687.40039
6/22/2017,2530.590088,1487.369995,2085.919922,83533.29688,11937
6/23/2017,2689.560059,1542.300049,2211.139893,87867.79688,11875.40039
6/24/2017,2763.75,1533.800049,2245.969971,80205.20313,11498.40039
6/25/2017,2379.290039,1413.180054,1798.680054,80464.70313,10322.2998
6/26/2017,2013.339966,1310.829956,1407.47998,82757.60156,8257.990234
6/27/2017,2009.410034,1319.569946,1418.449951,81235.5,8056.47998
6/28/2017,1903.859985,1313.109985,1248.469971,84065.60156,7980.939941
6/29/2017,2130.780029,1386.910034,1607.75,86882.29688,7993.950195
6/30/2017,2593.629883,1484.359985,2082.570068,81838.79688,9571.400391
7/1/2017,2681.76001,1560.650024,2311.72998,79566.60156,10554.7998
7/2/2017,2636.080078,1576.969971,2280.860107,79601.60156,11746.09961
7/3/2017,2605.199951,1545.530029,2117.48999,80237.29688,10572.09961
7/4/2017,2696.27002,1579.969971,2230.120117,85031,11541.7002
7/5/2017,2838.620117,1607.310059,2263.209961,82762.10156,11265.2002
7/6/2017,2758.459961,1584.069946,2214.080078,82673.20313,10754.40039
7/7/2017,2863.780029,1622.5,2178.449951,87331.39844,9928.419922
7/8/2017,2859.429932,1673.089966,2211.290039,80593.29688,10304.2998
7/9/2017,2604.100098,1595.300049,1927.660034,80011.20313,9610.759766
7/10/2017,2792.959961,1650.530029,2171.550049,82463,10410.2002
7/11/2017,2844.540039,1784.189941,2291.449951,78464.10156,10387.59961
7/12/2017,3023.360107,1844.630005,2462.98999,83335.79688,9932.400391
7/13/2017,3105.790039,1714.160034,2480.540039,83888.39844,9781.620117
7/14/2017,3146.52002,1705.560059,2491.75,87711,9315.669922
7/15/2017,3003.98999,1694.640015,2294.610107,79285.39844,9080.05957
7/16/2017,2854.47998,1641.449951,2120.550049,80007.10156,9003.910156
7/17/2017,2798.159912,1614.079956,2041.459961,81763.5,9743.530273
7/18/2017,2742.290039,1616.339966,2004.369995,87456.29688,10276.2998
7/19/2017,2591.800049,1559.310059,1968.290039,84728.29688,9494.660156
7/20/2017,2867.649902,1634.920044,2215.27002,85473.70313,10055.7998
7/21/2017,3019.159912,1670.140015,2295.360107,84109.10156,10241.90039
7/22/2017,3098.850098,1707.329956,2431.350098,78420.89844,10268.7998
7/23/2017,3046.159912,1691.339966,2367.620117,78808.20313,9685.549805
7/24/2017,2841.419922,1608.430054,2107.909912,81076.89844,10045
7/25/2017,2822.780029,1620.25,2106.429932,83888.29688,9796.25
7/26/2017,2708.100098,1552.390015,1941.51001,87481.79688,9446.179688
7/27/2017,2812.330078,1592.880005,2148.469971,83920.79688,10030.5
7/28/2017,2956.610107,1636.199951,2335.129883,82016.89844,10802.40039
7/29/2017,2570.73999,1521.329956,1889.300049,79715.79688,10658.7002
7/30/2017,2072.040039,1373.060059,1401.859985,80060.10156,9388.280273
7/31/2017,2103.080078,1378.599976,1478.5,81824.70313,9156.139648
8/1/2017,2248.030029,1482.359985,1670.290039,83006.20313,9482.049805
8/2/2017,2359.659912,1615.579956,1786.47998,84607.70313,10139.2002
8/3/2017,2547.27002,1657.819946,2072.830078,83335.70313,10893.59961
8/4/2017,2553.949951,1658.650024,1996.900024,83750.20313,10447.40039
8/5/2017,2366.889893,1528.869995,1830.829956,79271.10156,10807.59961
8/6/2017,2319.530029,1490.939941,1832.530029,79319.10156,10289
8/7/2017,2726.110107,1582.329956,1186.449951,83025.60156,12318
8/8/2017,2458.840088,1550.810059,1637.52002,85347.5,12259.2998
8/9/2017,2124.030029,1475.75,1150.27002,84940.10156,10317.5
8/10/2017,2152.679932,1474.849976,1113.439941,86307.89844,10130.90039
8/11/2017,2590.26001,1612.290039,1578.089966,85907.29688,12183.59961
8/12/2017,2809.629883,1686.040039,1811.52002,79815.10156,12631.5
8/13/2017,2511.97998,1631.290039,1436.079956,80099.10156,12403.59961
8/14/2017,2606.330078,1605.599976,1880.040039,83595.20313,12764.7002
8/15/2017,2873.120117,1708.390015,2585.149902,83162.20313,12807.59961
8/16/2017,2840.629883,1714.930054,2324.350098,84427.10156,11884.90039
8/17/2017,3004.300049,1717.47998,2408.850098,83559.89844,11285
8/18/2017,3027.969971,1605.209961,2440.77002,82167.20313,11009.2002
8/19/2017,2832.040039,1388.349976,1873.069946,75551,10107.09961
8/20/2017,2754.449951,1364.369995,1176.709961,73525.39844,9665.360352
8/21/2017,2863.399902,1591.560059,1683.469971,78639.60156,9898.790039
8/22/2017,2851.300049,1677.73999,2037.150024,77178.10156,9927.30957
8/23/2017,2881.159912,1683.290039,2079.669922,78812.5,9927.480469
8/24/2017,2541.469971,1447.359985,1569.650024,78786.39844,9701.160156
8/25/2017,2385.379883,1282.839966,1516.119995,78622.39844,9549.040039
8/26/2017,2353.169922,1339.660034,1701.050049,74523.70313,10065.5
8/27/2017,2122.580078,1264.219971,1462.219971,74469.29688,9714.660156
8/28/2017,2051.26001,1232.589966,1360.199951,77938.70313,9074.089844
8/29/2017,2014,1315.150024,1395.930054,75466.20313,9792.389648
8/30/2017,2095.120117,1446.689941,1502.140015,80987.20313,9844.299805
8/31/2017,2503.340088,1540.969971,1831.800049,78330.89844,10601.59961
9/1/2017,2401.800049,1437.689941,1653.069946,76461.89844,13070.7998
9/2/2017,1977.540039,1256.569946,1432.890015,73197.89844,11135.40039
9/3/2017,1937.75,1263.140015,1420.630005,74510.70313,10789.09961
9/4/2017,2056.719971,1289.339966,1469.910034,75066.89844,10856.59961
9/5/2017,2332.149902,1364.680054,1699.910034,78076.60156,11300.90039
9/6/2017,2441.290039,1292.050049,1508.449951,76478.20313,10597.90039
9/7/2017,1725.930054,1194.150024,939.3200073,78867.10156,9826.910156
9/8/2017,1588.699951,1230.359985,941.0100098,80985.20313,9486.639648
9/9/2017,1569.630005,1225.47998,981.2700195,73210.39844,9522.959961
9/10/2017,1400.449951,1182.73999,795.1699829,74428,9642.549805
9/11/2017,1511.619995,1218.660034,1012.909973,77742.60156,9596.099609
9/12/2017,2040.349976,1371.650024,1683.449951,78469.10156,13806.09961
9/13/2017,2191.379883,1417.449951,1696.040039,80751.39844,13206.5
9/14/2017,2298.189941,1444.849976,1681.310059,78120.29688,11012.7998
9/15/2017,2369.939941,1409.569946,1652.160034,85048.89844,10709.90039
9/16/2017,2452.379883,1294.73999,1693.530029,74879.29688,10516.7998
9/17/2017,2499.52002,1283.630005,1735.069946,74808.20313,10599.90039
9/18/2017,2528.120117,1282.099976,1686.5,78122.79688,11998.90039
9/19/2017,2466.02002,1307.869995,1649.939941,79199.60156,10297.2998
9/20/2017,2587.48999,1358.449951,1786.27002,80768.89844,10399
9/21/2017,2630.449951,1354.459961,1773.550049,78566.70313,11552.40039
9/22/2017,2482.389893,1345.560059,1723.569946,80056.89844,10173.2002
9/23/2017,2355.889893,1321.939941,1625.160034,74179.79688,9983.120117
9/24/2017,2334.030029,1313.380005,1579.359985,73986.10156,9801.769531
9/25/2017,2366.879883,1318.969971,1591.969971,74715.10156,9972.790039
9/26/2017,2569.909912,1402.109985,1841.339966,75913.89844,6993.560059
9/27/2017,2665.639893,1436,1953.73999,80260.70313,11581.09961
9/28/2017,2533.800049,1403.910034,1790.699951,79336.29688,9583.759766
9/29/2017,1957.880005,1234.140015,1148.469971,78043.70313,9375.969727
9/30/2017,1577.390015,1007.159973,986.1799927,73672.10156,9462.990234
10/1/2017,1331.099976,712.3499756,625.1099854,79417.10156,9504.870117
10/2/2017,1471.890015,1038.670044,835.0800171,79810.20313,9623.30957
10/3/2017,1510.569946,1218.180054,907.710022,80324.89844,9594.240234
10/4/2017,1525.25,1147.150024,968.8699951,80809.89844,9545.870117
10/5/2017,1729.130005,1187.219971,1225.069946,80895,9355.919922
10/6/2017,1863.609985,1216.819946,1427.630005,81150.70313,9625.389648
10/7/2017,2214.780029,1306.150024,1797.599976,73652.79688,11050.7998
10/8/2017,2659.199951,1453.300049,2240.860107,75602.29688,13368
10/9/2017,2755.23999,1469.160034,2255.159912,78924.60156,12529.2002
10/10/2017,2900.76001,1470.170044,2350.139893,78522.39844,12560.7002
10/11/2017,2909.610107,1422.449951,2311.570068,80425.89844,11570.59961
10/12/2017,2547.219971,1360.689941,1836.02002,77917.29688,10490
10/13/2017,1885.680054,1202.030029,1264.650024,74323.20313,9449.459961
10/14/2017,1727.670044,1167.140015,1301.609985,72924.79688,8760.860352
10/15/2017,1946.439941,1223.939941,1571.150024,73735,10062.5
10/16/2017,1607.069946,1103.130005,1010.299988,79784.29688,9640.870117
10/17/2017,1069.869995,656.5599976,371.3999939,88006.29688,8470.549805
10/18/2017,1077.569946,540.2399902,406.1000061,96371.70313,9015.5
10/19/2017,1191.719971,588.289978,601.5300293,91541.10156,9050.660156
10/20/2017,1252.900024,629.710022,738.0700073,89904.89844,8988.969727
10/21/2017,1287.670044,939.7299805,846.8900146,76137.70313,8917.790039
10/22/2017,1470.76001,1027.689941,1047.069946,76827.20313,8929.089844
10/23/2017,1814.400024,1090.589966,1342.650024,80010,10585.40039
10/24/2017,1497.380005,1009.22998,974.0499878,78554.5,10991.7998
10/25/2017,1078.420044,682.4699707,509.4500122,94435.89844,8581.959961
10/26/2017,993.6799927,515.789978,435.7900085,101228,8755.389648
10/27/2017,1057.280029,533.1099854,578.7000122,97909,7986.419922
10/28/2017,1121.869995,764.2399902,794.3900146,82360.10156,7539.910156
10/29/2017,1263.170044,890.1300049,834.8099976,86049.60156,7547.839844
10/30/2017,917.6199951,479.4100037,221.0800018,115995,9855.94043
10/31/2017,1025.439941,515.7700195,473.769989,103086,9895.160156
11/1/2017,1130.22998,680.3499756,652.0599976,92108.29688,8948.009766
11/2/2017,1501.25,975.3300171,1130.48999,81964.20313,8477.240234
11/3/2017,1595.839966,960.9400024,1141.369995,81151.10156,8373.509766
11/4/2017,1375.719971,949.710022,934.9099731,75665.79688,9451.459961
11/5/2017,1274,942.960022,742.0900269,85117,8693.769531
11/6/2017,1533.339966,1003.820007,900.9899902,81371.29688,9292.280273
11/7/2017,1317.849976,975.8599854,656.3099976,87121.20313,8711.25
11/8/2017,918.1099854,774.0700073,99.20999908,129021,9921.69043
11/9/2017,895.8900146,779.9500122,148.0899963,113943,11917.90039
11/10/2017,919.9899902,594.7199707,223.9299927,111663,11407.7998
11/11/2017,884.5700073,465.6799927,205.8399963,156540,15025.59961
11/12/2017,831.8200073,471.1199951,185.4499969,143665,15339.2998
11/13/2017,889.8200073,488.5700073,249.0500031,109388,12876.5
11/14/2017,897.2600098,527.3699951,175.1100006,112199,13455.2002
11/15/2017,911.4799805,648.1099854,165.8200073,125478,14300.2998
11/16/2017,986.7299805,650.4000244,417.980011,105219,13055.40039
11/17/2017,972.8200073,662.9899902,314.3399963,120601,13551.40039
11/18/2017,979.7299805,564.2299805,497.5400085,105989,12135.09961
11/19/2017,952.4000244,618.710022,452.9899902,99614.60156,10124.7998
11/20/2017,974.2299805,511.0700073,234.1600037,143582,13062.40039
11/21/2017,983.8499756,522.9500122,387.2799988,124949,12789.5
11/22/2017,981.7999878,640.2299805,529.039978,98998.89844,11107.7998
11/23/2017,959.4199829,546.6300049,250.6999969,134977,13923.2998
11/24/2017,920.5300293,546.7600098,271.5,139626,14467.2998
11/25/2017,948.6400146,538.8200073,451.5799866,116199,12806.09961
11/26/2017,919.8499756,534.8800049,462.1700134,106222,12103.09961
11/27/2017,999.9799805,538.7199707,381.6600037,124771,12945.7002
11/28/2017,1015.719971,545.1300049,368.5299988,125025,12331.5
11/29/2017,1065.689941,554.4099731,530.9500122,112113,11689.7002
11/30/2017,1019.710022,544.8200073,494.5299988,108955,10513.09961
12/1/2017,1010.570007,541.8200073,535.5599976,92265.89844,9389.040039
12/2/2017,898.9799805,526.3099976,318.5599976,104427,9589.19043
12/3/2017,920.8099976,529.6699829,484.5899963,95200.70313,10079.59961
12/4/2017,969.4899902,564.539978,350.4599915,117812,10455.59961
12/5/2017,1044.72998,770.7800293,585.7399902,104304,10313.7998
12/6/2017,986.1500244,762,428.7600098,112577,10672.90039
12/7/2017,953.2199707,459.3099976,250.3399963,128068,13366.09961
12/8/2017,979.5800171,579.4199829,160.7299957,151213,15634.90039
12/9/2017,914.9099731,671.6199951,154.5599976,165847,18402.30078
12/10/2017,824.4000244,664.8900146,159.2400055,168840,19632.5
12/11/2017,820.5999756,720.7199707,323.9899902,147829,18800.19922
12/12/2017,775.289978,815.9799805,276.3800049,144609,18357
12/13/2017,770.6500244,802.7600098,125.0800018,167952,21020.5
12/14/2017,742.3400269,815.1900024,291.1499939,129725,18948.59961
12/15/2017,762.1400146,828.6799927,197.1000061,148253,19133.80078
12/16/2017,740.0700073,846.7299805,261.7200012,147927,19651.80078
12/17/2017,723.8099976,855.1799927,354.5700073,137010,18478.19922
12/18/2017,792.7299805,685.8400269,618.8699951,115402,15841.5
12/19/2017,887.1699829,619.3200073,682.4899902,109970,13423.7998
